business_name,entity_type,address,city,state,zip
"ACCIDENT LAW OFFICE OF SAMUEL W. BEARMAN, P.A.",IDOMP,1015 N 12TH AVE                                                                     PENSACOLA,FL32501       1015 N 12TH AVE,,
ACCIDENT LAWYER CONNECT LLC,IFLAL,30 N GOULD ST                             STE R                                     SHERIDAN,WY82801     US30 N GOULD ST,,STE R
ACCIDENT LAWYER IN MIAMI.COM INC.,ADOMP,351 NW LEJEUNE ROAD STE 202                                                         MIAMI,FL33126       351 NW LEJEUNE ROAD STE,202,
"ACCIDENT LAWYER, P.A.",ADOMP,101 N 12th St                                                                       TAMPA,FL33602     US101 N 12th St,,
"ACCIDENT LAWYERS, INC",IDOMP,351 NW LEJEUNE RD STE 202                                                           MIAMI,FL33126       351 NW LEJEUNE RD STE 20,2,
"ACCO JUSTICE, PLLC",AFLAL,"500 N FEDERAL HIGHWAY, STE 200                                                      FORT LAUDERDALE","FL33301       500 N FEDERAL HIGHWAY, S",TE 200,
"AHAMSON & UITERWYK INJURY LAWYERS, LLC",AFLAL,2639 MCCORMICK DR.                                                                  CLEARWATER,FL33759     US2519 N. MCMULLEN BOOTH R,D.,SUITE 510-30
"AL ADVICE & TRIAL OR RESOLUTION ADVOCACY, PLLC",AFLAL,"618 EAST SOUTH STREET, SUITE 500                                                    ORLANDO","FL32801       618 EAST SOUTH STREET, S",UITE 500,
"AL ADVICE & TRIAL SERVICES, PLLC",IFLAL,110 E BROWARD BLVD #1700                                                            FT LAUDERDALE,FL33301     US110 E BROWARD BLVD #1700,,
"AL ADVOCATION FOR JUSTICE AT LAW, LLC",IFLAL,3107 STIRLING ROAD                        STE. 205                                  FORT LAUDERDALE,FL33312       3107 STIRLING ROAD,,STE. 205
AL JUSTICE FOR ALL LEGAL EXPENSE INSURANCE CORPORATION,ADOMP,7880 Gate Parkway                         Suite 103                                 Jacksonville,FL32256     US7880 Gate Parkway,,Suite 103
"AL JUSTICE LAW CENTER, PC, PA",IFORP,"3200 WILSHIRE BLVD., S. TOWER, STE. 1380                                            LOS ANGELES","CA90010       3200 WILSHIRE BLVD.,",,"SOUTH TOWER,"
AL JUSTICE LAW GROUP LLC,IFLAL,1806 OLD OKEECHOBEE ROAD                  B                                         WEST PALM BEACH,FL33409       1806 OLD OKEECHOBEE ROAD,,B
AL LAWYERS OF COMPLEX LITIGATION INCORPORATED,ADOMNP,17 EAST MAIN STREET                       SUITE 200                                 PENSACOLA,FL32502       17 EAST MAIN STREET,,SUITE 200
ALDSON INJURY LAW PA,ADOMP,11711 STONEHAVEN WAY                                                                PALM BEACH GARDE,NS          FL33412     US11711 STONEHAVEN WAY,,
ALDSON INJURY LAW PLLC,IFLAL,11711 STONEHAVEN WAY                                                                WEST PALM BEACH,FL33412     UN11711 STONEHAVEN WAY,,
"ALEGAL JUSTICE CENTER, LLC",IFLAL,4521 WATCH HILL RD                                                                  ORLANDO,FL32808     US4521 WATCH HILL RD,,
"ALEGAL JUSTICE, LLC",AFLAL,2875 NE 191st Street                      Suite 500                                 Aventura,FL33180     US2875 NE 191st Street,,
"ALES INJURY LAW, P.A.",ADOMP,9100 South Dadeland Blvd.                                                           Miami,FL33156     US9100 South Dadeland Blvd,,
"ALVAREZ TRIAL LAW FIRM, P.A.",ADOMP,The Concorde Office Tower                 66 West Flagler Street                    Miami,FL33130     USThe Concorde Office Towe,r,66 West Flag
"AN INJURY LAW, PLLC",AFLAL,"300 South Pine Island Road, Suite 210                                               Plantation",FL33324     US300 South Pine Island Ro,"ad, Suite 210",
ANCED CHIROPRACTIC & INJURY CENTERS P.A.,IDOMP,115 NW 167TH ST 4TH FL                                                              N MIAMI BEACH,FL33169       115 NW 167TH ST 4TH FL,,
"ANCED SPINE & INJURY CENTER, P.A.",IDOMP,6944 W LINEBAUGH AVE                      SUITE 101                                 TAMPA,FL33625       6944 W LINEBAUGH AVE,,SUITE 101
"ANCED WELLNESS & INJURY CENTERS, P.A.",IDOMP,12471 W. LINEBAUGH AVE.                                                             TAMPA,FL33626       12471 W. LINEBAUGH AVE.,,
"ANDO LITIGATION LAWYER, PLLC",AFLAL,135 W CENTRAL BLVD                        300                                       ORLANDO,FL34786       8513 BOWDEN WAY,,
"ANDO TRIAL ATTORNEY, P.A.",ADOMP,1231 E. CONCORD STREET                                                              ORLANDO,FL32803     USPO BOX 540585,,
"ANTIC JUSTICE LAW GROUP, PLLC",IFLAL,118 E. Jefferson Street                                                             Orlando,FL32801     US118 E. Jefferson Street,,
ANTIC PARALEGAL & LITIGATION SUPPORT LLC,IFLAL,2655 Collins Ave                                                                    MIAMI BEACH,FL33140     US2655 Collins Ave,,
"ARD ACCIDENT & INJURY CHIROPRACTIC CLINIC, P.A.",IDOMP,6929-2 BEACH BLVD.                                                                  JACKSONVILLE,FL32216       6929-2 BEACH BLVD.,,
"ARDVARK AARON AMERICAN ACCIDENT ATTORNEYS, INC.",IDOMP,PO BOX 13821                                                                        MIAMI,FL33101       PO BOX 13821,,
"AREA TRIAL LAWYERS ASSOCIATION, INC.",IDOMNP,308 TAMPA STREET ROOM 345                                                           TAMPA FLA,33602       308 TAMPA STREET ROOM 34,5,
"ARELLI AND GUMULA INJURY FIRM, PLLC",IFLAL,351 AIRPORT RD. N.                                                                  NAPLES,FL34104       351 AIRPORT RD. N.,,
"AREZ GOWER INJURY LAW, PLLC",AFLAL,605 South Fremont Ave                                                               Tampa,FL33606     US605 South Fremont Ave,,
AREZ INJURY LAW PLLC,AFLAL,605 S Fremont Ave                                                                   Tampa,FL33606     US605 S Fremont Ave,,
"ARWATER HEALTH & INJURY CTR, P.A.",IDOMP,6485 N. FEDERAL HWY                                                                 BOCA RATON,FL33487       6485 N. FEDERAL HWY,,
AS LEGAL LITIGATION SUPPORT INC,IDOMP,118 E JEFFERSON ST                        SUITE 108                                 ORLANDO,FL32801     UN118 E JEFFERSON ST,,SUITE 108
"ASOTA INJURY LAW, A PRIVATE LAW FIRM, P.A.",IDOMP,308 COCOANUT AVENUE                                                                 SARASOTA,FL34236       308 COCOANUT AVENUE,,
"ASOTA TRIAL LAWYERS BOARD, INC.",ADOMP,2822 University Pkwy                                                                SARASOTA,FL34243-2410US2822 University Pkwy,,
"ATASTROPHIC INJURY LAW FIRM, P.A.",IDOMP,5006 TROUBLE CREEK RD STE 232                                                       NEW PORT RICHEY,FL34652       5006 TROUBLE CREEK RD ST,E 232,
"AUTO ACCIDENT ATTORNEYS, P.A.",ADOMP,12185 Broken Oak Ln                                                                 Odessa,FL33556     USP.O. BOX 45110,,
"AUTO INJURY TREATMENT CENTER, P.A.",IDOMP,"3460 COUNTRYSIDE BLVD., #42                                                         CLEARWATER",FL33761     US3014 W. ESTRELLA AVE,,SUITE 155
BAKER INJURY LAW PLLC,AFLAL,515 N. FLAGLER DRIVE                      SUITE 350                                 WEST PALM BEACH,FL33401     US515 N. FLAGLER DRIVE,,SUITE 350
"BEN INJURY LAW, PLLC",AFLAL,1200 N FEDERAL HWY STE 300                                                          BOCA RATON,FL33432     US1200 N FEDERAL HWY STE 3,00,
BISHOP INJURY LAW P.L.L.C.,AFLAL,3415 WEST LAKE MARY BLVD                  #951663                                   LAKE MARY,FL32795     US3415 WEST LAKE MARY BLVD,,#951663
"BURN INJURY LAW, LLC",AFLAL,2474 NW 63RD STREET                                                                 BOCA RATON,FL33496       2474 NW 63RD STREET,,
"BY INJURY LAW, P.A.",ADOMP,1314 E. LAS OLAS BLVD.                    SUITE 433                                 FORT LAUDERDALE,FL33301     US1314 E. LAS OLAS BLVD.,,SUITE 433
"CAN INJURY GROUP, PLLC",AFLAL,1601 FORUM PLACE                          SUITE 304                                 WEST PALM BEACH,FL33401       1601 FORUM PLACE,,SUITE 304
"CARE INJURY & REHAB, P.A.",IDOMP,5701 NORTH FEDERAL HWY                                                              BOCA RATON,FL33487       5701 NORTH FEDERAL HWY,,
"CCIDENT AND INJURY ATTORNEY - LAW OFFICES OF SCHACKOW AND MERCADANTE, P.A.",IDOMP,% SCHACKOW & MERCADANTE                   112 N.W. 33RD CT.                         GAINESVILLE,FL32607       % SCHACKOW & MERCADANTE,,112 N.W. 33R
"CCIDENT AND INJURY ATTORNEY LAW OFFICES OF ROBERT COLSKY, P.A.",IDOMP,% FILINGS INC.                            3756 NORTHWEST 16TH STREET                FORT LAUDERDALE,FL33311       % FILINGS INC.,,3756 NORTHWE
"CENTER FOR EMPLOYEE JUSTICE AND LABOR LAW REFORM, INC.",ADOMNP,9529 GISBORNE DR.                                                                   JACKSONVILLE,FL32208     US9529 GISBORNE DR.,,
"CENTER FOR LEGAL CONSULTANTS AND LITIGATION, INC.",IDOMP,7810 BALLANTYNE COMMONS PKWY              SUITE 300                                 CHARLOTTE,NC28277     US7810 BALLANTYNE COMMONS,PKWY,SUITE 300
CENTER FOR LEGAL JUSTICE LLC,IFLAL,"902 CLINT MOORE RD., STE 144                                                        BOCA RATON","FL33487     US902 CLINT MOORE RD., STE",144,
"CITY JUSTICE, P.A.",IDOMP,4069 Atlantic Boulevard                                                             Jacksonville,FL32207     US4069 Atlantic Boulevard,,
"CK ACCIDENT LAW FIRM, LLC",AFLAL,1200 RIVERPLACE BLVD                                                                JACKSONVILLE,FL32207     US1200 RIVERPLACE BLVD,,
CK ACCIDENT LAW GROUP LLC,AFLAL,5950 LAKEHURST DR.                        SUITE 270                                 ORLANDO,FL32819     US5950 Lakehurst Dr.,,
"CK ROCK TRIAL LAWYERS, PLLC",AFLAL,201 S. WESTLAND AVE                                                                 TAMPA,FL33606     US201 S. WESTLAND AVE,,
CK TRADEMARK & COPYRIGHT LAW LITIGATION LLC,AFLAL,860 6TH AVE S                             STE 1754                                  NAPLES,FL34102     US860 6TH AVE S,,STE 1754
"CKER INJURY LAW, P.A.",IDOMP,407 SOUTH EWING AVE                       SUITE 100                                 CLEARWATER,FL33756       407 SOUTH EWING AVE,,SUITE 100
CO INJURY LAW LLC,IFLAL,FILED IN ERROR                                                                      X,FL00000     UNFILED IN ERROR,,
CO INJURY LAW PLLC,IFLAL,4240 CHARLES SAMUEL DR                                                              TALLAHASSEE,FL32309     UN4240 CHARLES SAMUEL DR,,
CO INJURY LAW PLLC,AFLAL,10855 FIELDFAIR DR.                                                                 NAPLES,FL34119     US10855 FIELDFAIR DR.,,
COAST SPINE AND INJURY CENTER PLLC,IFLAL,"1831 N. Belcher Rd., Ste. B-2                                                       Clearwater","FL33765     US1831 N. Belcher Rd., Ste",. B-2,
"CONSUMER LITIGATION GROUP, P.A.",IDOMP,255 ALHAMBRA CIRCLE                       630                                       CORAL GABLES,FL33134     US255 ALHAMBRA CIRCLE,,630
"COUNT INJURY & ACCIDENT ATTORNEYS, PLLC",AFLAL,425 WEST COLONIAL DRIVE                   SUITE 103                                 ORLANDO,FL32804     US425 WEST COLONIAL DRIVE,,SUITE 103
"CRAIG DELESIE, JR., LITIGATION ATTORNEY PLLC",AFLAL,10821 BOYETTE RD                                                                    RIVERVIEW,FL33569     US10821 BOYETTE RD,,
"CRANE PERSONAL INJURY LAW, CORP.",AFORP,320 NORTH MAGNOLIA AVENUE STE B-9                                                   ORLANDO,FL32801     US320 NORTH MAGNOLIA AVENU,E STE B-9,
CRUISE-INJURY LAW FIRM P.A.,ADOMP,2915 BISCAYNE BLVD.                       SUITE 300                                 MIAMI,FL33137     US2915 BISCAYNE BLVD.,,SUITE 300
"D AND MATTER COUNSELING AND SOCIAL JUSTICE CENTER, LLC",IFLAL,"728 EXECUTIVE CENTER DR., UNIT 28                                                   WEST PALM BEACH",FL33401     USPO BOX 11817,,
D INJURY LAW PLLC,AFLAL,1530 W Boynton Beach Blvd                                                           Boynton Beach,FL33436     US1530 W Boynton Beach Blv,d,
"D INJURY LAW, P.A.",ADOMP,8551 W. SUNRISE BLVD.                     100M                                      PLANTATION,FL33322       8551 W. SUNRISE BLVD.,,100M
D INJURY SPECIALISTS PLLC,AFLAL,3945 W BROWARD BLVD UNIT 121041                                                     FORT LAUDERDALE,FL33312     US3945 W BROWARD BLVD UNIT,121041,
"D MEDICAL MALPRACTICE PARALEGAL, L.L.C.",IFLAL,5809 SIENA LANE                                                                     HOLLYWOOD,FL33021       5809 SIENA LANE,,
"D'ALEMBERTE TRIAL FIRM, P.A.",ADOMP,2901 S. Bayshore Dr                                                                 MIAMI,FL33133     US2901 S. Bayshore Drive,,
DAN LEGAL LITIGATION SUPPORT SERVICES & CONSULTING INC,IDOMP,3470 EAST COAST AVE                       UNIT #2405                                MIAMI,FL33137     USPO BOX 611702,,
"DAYTONA INJURY LAW FIRM, PLLC",AFLAL,10401 POINTVIEW CT                                                                  ORLANDO,FL32836     US10401 POINTVIEW CT,,
"DEMY OF FLORIDA PROBATE AND TRUST LITIGATION ATTORNEYS, INC.",IDOMNP,%ROHAN KELLEY                             3365 GALT OCEAN DRIVE                     FORT LAUDERDALE,FL33308       %ROHAN KELLEY,,3365 GALT OC
"DERHILL INJURY & ACCIDENT LAW FIRM, LLC",IFLAL,4200 NW 16 STREET                         232                                       LAUDERHILL,FL33313     US205 WEST DAVIE BOULEVARD,,
DERO LEGAL CONSULTING AND LITIGATION P.A.,IDOMP,175 SW 7TH STREET                         SUITE 1912                                MIAMI,FL33130       175 SW 7TH STREET,,SUITE 1912
"DERS LITIGATION FIRM, PLLC",IFLAL,1015 E SUNRISE BLVD                       UNIT 1-202                                FORT LAUDERDAE,FL33304     US1015 E SUNRISE BLVD UNIT,1-202,UNIT 1-202
"DEZ INJURY FIRM, P.A.",ADOMP,9020 SW 137TH AVE                                                                   MIAMI,FL33186     US9020 SW 137TH AVE,,
"DISC INJURY CENTER OF FORT MYERS, P.A.",IDOMP,"12631 WORLD PLAZA LANE, BUILDING 54                                                 FORT MYERS","FL33907       12631 WORLD PLAZA LANE,",BUILDING 54,
"DLAW SWEET JUSTICE, LLC",AFLAL,"1641 WORTHINGTON ROAD, SUITE 300                                                    WEST PALM BEACH","FL33409     US1641 WORTHINGTON ROAD, S",UITE 300,
"DOVA INJURY CLINIC, P.A.",IDOMP,5599 NORTH W STREET                                                                 PENSACOLA,FL32505       5599 NORTH W STREET,,
"DSON BRAIN SPINE INJURY LAW OFFICE, PA",ADOMP,2210 Front St                             Suite 307                                 Melbourne,FL32901     US2202 WOODFIELD CIRCLE,,
"DT TRIAL SOLUTIONS, PLLC",IFLAL,1623 SERENITY CIRCLE                                                                NAPLES,FL34110     US1623 SERENITY CIRCLE,,
"DUCT LIABILITY JUSTICE, PLLC",IFLAL,500 N FEDERAL HIGHWAY                     SUITE 200                                 FORT LAUDERDALE,FL33301     US500 N FEDERAL HIGHWAY,,SUITE 200
"DY INJURY LAW, PLLC",AFLAL,6650 10th Avenue North                                                              St. Petersburg,FL33710     US6650 10th Avenue North,,
"E FINK TRIAL LAWYERS, P.A.",IDOMP,1614 COLONIAL BLVD                                                                  FORT MYERS,FL33907     US1614 COLONIAL BLVD,,
"E HUBER TRIAL ATTORNEYS, P.A.",ADOMP,4600 MILITARY TRAIL                       SUITE 212                                 JUPITER,FL33458       4600 MILITARY TRAIL,,SUITE 212
"E INJURY CENTER, P.A.",IDOMP,1881 W. OAKLAND PARK BLVD                                                           FORT LAUDERDALE,FL33311       1881 W. OAKLAND PARK BLV,D,
"E INJURY LAW, P.A.",ADOMP,"25 SE 2nd Avenue, Suite 808-6                                                       Miami","FL33131     US25 SE 2nd Avenue, Suite",808-6,
"E J. RICKERT, LITIGATION ATTORNEY, PROFESSIONAL LLC",IFLAL,528 West Davis Blvd                                                                 Tampa,FL33606     US301 W. Platt Street,,#517
"E JUSTICE LAW, PLLC",AFLAL,291 21ST ST NW                                                                      NAPLES,FL34120     US291 21ST ST NW,,
E JUSTICE NOW P.A.,IDOMP,404 S MELVILLE AVE UNIT 4                                                           TAMPA,FL33606       404 S MELVILLE AVE UNIT,4,
E LITIGATION P.A.,IDOMP,2060 Winter Springs Blvd.                                                           Oviedo,FL32765     US2060 Winter Springs Blvd,.,
"E SHIRT JUSTICE, P.A.",IDOMP,210 E FORSYTH STREET                                                                JACKSONVILLE,FL32202       210 E FORSYTH STREET,,
E. LEVENSON TRIAL LAWYER PA,ADOMP,1500 GATEWAY BLVD                         220                                       BOYNTON BEACH,FL33426     US1500 GATEWAY BLVD,,220
"EAM - ASSOCIATION OF TRIAL EXPERIENCED ATTORNEY MASTERS OF NORTHWEST FLORIDA, INC.",IDOMP,310 ELMIRA ST                                                                       MLTON,FL32570       310 ELMIRA ST,,
"ECLOSURE AND CONSUMER LITIGATION CLINIC, PLLC",IFLAL,801 NORTHPOINT PARKWAY                    85                                        WEST PALM BEACH,FL33407       801 NORTHPOINT PARKWAY,,85
"EED A PERSONAL INJURY LAWYER.COM, INC",IDOMP,102 NORTHEAST 2ND STREET                  348                                       BOCA RATON,FL33432       102 NORTHEAST 2ND STREET,,348
"EETS LITIGATION MANAGEMENT, PLLC",AFLAL,603 E FORT KING STREET                                                              OCALA,FL34471     US603 E FORT KING STREET,,
"EGA TRIAL LAW, P.A.",ADOMP,14618 SW 142ND COURT                                                                MIAMI,FL33186     US14618 SW 142ND COURT,,
"EGAN TRIAL LAW, P.A.",IDOMP,114 CRESTWOOD COURT SOUTH                                                           SAFETY HARBOR,FL34695     US114 CRESTWOOD COURT SOUT,H,
EGO INJURY PROTECTION ATTORNEYS P.A.,IDOMP,3201 W. TAMPA BAY BLVD.                                                             TAMPA,FL33607       3201 W. TAMPA BAY BLVD.,,
"EL INJURY LAW, P.A.",IDOMP,2630 W BROWARD BLVD.                      STE 203-144                               FORT LAUDERDALE,FL33312     US2630 W BROWARD BLVD.,,STE 203-144
"EL TRIAL LAW, PLLC",AFLAL,2064 PARK STREET                                                                    JACKSONVILLE,FL32204     US2064 PARK STREET,,
"ELL INJURY LAW, P.A.",ADOMP,2033 W. James Lee Blvd.                                                             CRESTVIEW,FL32536     US2033 W. James Lee Blvd.,,
"ELLAS COUNTY TRIAL LAWYERS ASSOCIATION, INC.",ADOMNP,2510 1st Ave. N.                                                                    St. Petersburg,FL33713     US2510 1st Ave. N.,,
"ELLAS TRIAL LAWYERS, INC.",IDOMNP,700 CENTRAL AVENUE                        SUITE 401                                 ST. PETERSBURG,FL            700 CENTRAL AVENUE,,SUITE 401
"ELLI TRIAL LAWYERS, P.A.",ADOMP,4800 N FEDERAL HWY STE #202E                                                        BOCA RATON,FL33431       4800 N FEDERAL HWY STE #,202E,
"EMAN INJURY LAW, P.A.",IDOMP,201 N. SR 7                                                                         MARGATE,FL33063       201 N. SR 7,,
"EMAN INJURY LAW, P.A.",ADOMP,5 Harvard Circle                                                                    West Palm Beach,FL33409     US5 Harvard Circle,,
"EN INJURY LAW, P.A.",ADOMP,5599 S. University Drive                  Suite 206                                 Davie,FL33328     US5599 S. University Drive,,Suite 206
"EN INJURY LAW, PLLC",AFLAL,300 SE 2ND STREET                         SUITE 600                                 FORT LAUDERDALE,FL33301       300 SE 2ND STREET,,SUITE 600
"EN LAW ACCIDENT INJURY LAWYERS, P.A.",ADOMP,6241 NW 23RD ST                           3RD FL                                    GAINESVILLE,FL32653     USP.O. BOX 5757,,
"EN'S TRIAL GROUP INTERNATIONAL, PLLC",IFLAL,319 Clematis St.                                                                    West Palm Beach,FL33401     US319 Clematis St.,,
"ENBERG INJURY LAW, PLLC",AFLAL,2500 N. MILITARY TRAIL                    235                                       BOCA RATON,FL33431     US2500 N. MILITARY TRAIL,,235
"ENDS OF JUSTICE, PLLC",IFLAL,26 INDUSTRIAL LOOP                        UNIT 170                                  ORANGE PARK,FL32073     UNPO BOX 51294,,
ENFELD INJURY LAWYERS LLC,AFLAL,1341 EAGLE RUN DRIVE                                                                SANIBEL,FL33957     US1341 EAGLE RUN DRIVE,,
"ENHEIMER PERSONAL INJURY LAW FIRM, P.A.",ADOMP,"1930 Harrison Street, Suite 103                                                     HOLLYWOOD","FL33020     US1930 Harrison Street, Su",ite 103,
ENSIC LITIGATION AND VALUATION EXPERTS PLLC,AFLAL,400 N ASHLEY DRIVE                        SUITE 2600                                TAMPA,FL33602     US400 N ASHLEY DRIVE,,SUITE 2600
"ENSIC, LITIGATION AND ACCOUNTING CONSULTANTS, PLLC",IFLAL,815 N LAKE DAVIS DRIVE                                                              ORLANDO,FL32806       815 N LAKE DAVIS DRIVE,,
ER INJURY LAW PA,ADOMP,1101 MIRANDA LANE                                                                   KISSIMMEE,FL34741     US1101 MIRANDA LANE,,
ER INJURY LAW PLLC,AFLAL,605 S FREMONT AVE                                                                   TAMPA,FL33606     US605 S FREMONT AVE,,
"ER MEDICAL INJURY GROUP,PLLC",IFLAL,910 NORTH PINE HILLS RD                                                             ORLANDO,FL32808       910 NORTH PINE HILLS RD,,
ERAN LEGAL JUSTICE LLC,IFLAL,2110 N. OCEAN BLVD                        TOWER 2 APT 9B                            FORT LAUDERDALE,FL33305     US2110 N. OCEAN BLVD,,TOWER 2 APT
"ERATION CHIROPRACTIC INJURY AND REHABILITATION CLINIC, PLLC",IFLAL,6640 103rd Street                                                                   JACKSONVILLE,FL32210     US763 E. Dorchester Drive,,
"EREIGN LEGAL JUSTICE, LLC",IFLAL,1930 HARRISON STREET                      203                                       HOLLYWOOD,FL33020       1930 HARRISON STREET,,203
"ERT BRIAN JUSTICE, ARNP, P.A.",IDOMP,4763 MELISSA COVE                                                                   CRESTVIEW,FL32539       4763 MELISSA COVE,,
"ERT R. HAGAMAN & ASSOCIATES, TRIAL LAWYERS & COUNSELORS AT LAW, CHARTERED",IDOMP,909 Vistana Circle                                                                  NAPLES,FL34119     US909 Vistana Circle,,
"ERTY & JUSTICE LEGAL, P.A.",ADOMP,4699 N STATE ROAD 7                       SUITE A1                                  FT. LAUDERDALE,FL33319     US4699 N STATE ROAD 7,,SUITE A1
"ERX MEDICAL MALPRACTICE, PLLC",AFLAL,5230 HARBORSIDE DR.                                                                 TAMPA,FL33615       5230 HARBORSIDE DR.,,
"ES INJURY LAW GROUP, PLLC",IFLAL,1806 N. FLAMINGO ROAD                     SUITE 280                                 PEMBROKE PINES,FL33028       1806 N. FLAMINGO ROAD,,SUITE 280
"ES INJURY LAW, PLLC",IFLAL,3860 WEST COMMERCIAL BLVD.                                                          FORT LAUDERDALE,FL33309     UN13846 NW 21ST STREET,,
ES JUSTICE FIRM PLLC,IFLAL,1925 E 6th Ave                                                                      Tampa,FL33605     US7617 W Courtney Campbell,CSWY,
"F. JUSTICE, P.A.",ADOMP,8551 W. SUNRISE BLVD.                     SUITE 300                                 PLANTATION,FL33322       5750 SW 8th Ct.,,
FESSIONAL INJURY PARALEGALS LLC,IFLAL,6100 12TH AVE S                                                                     GULFPORT,FL33707     US6100 12TH AVE S,,
"FESSIONAL LEGAL ASSISTANTS AND LITIGATION SUPPORT GROUP, INC.",IDOMP,% PATTY GRATZ                             825 S BAYSHORE DR #1650                   MIAMI,FL33131       % PATTY GRATZ,,825 S BAYSHO
"FLA. LITIGATION PARALEGAL SERVICES, LLC",AFLAL,2000 SW 6th Avenue                                                                  BOYNTON BEACH,FL33426     US2000 SW 6th Avenue,,
"FLORIDA ACCIDENT AND INJURY CENTERS, P.A.",IDOMP,8480 BLIND PASS RD.                                                                 ST. PETERSBURG B,EACH        FL33706       8480 BLIND PASS RD.,,
FLORIDA ACCIDENT ATTORNEY PLLC,AFLAL,12350 SW 132 CT                           112                                       MIAMI,FL33186       12350 SW 132 CT,,112
"FLORIDA ACCIDENT LAW GROUP, L.L.C.",IFLAL,306 N. RHODES AVE. SUITE 112                                                        SARASOTA,FL34237       306 N. RHODES AVE. SUITE,112,
"FLORIDA PERSONAL INJURY LAW CENTER, LLC",AFLAL,4151 Hollywood Blvd                                                                 Hollywood,FL33021     US4151 Hollywood Blvd,,
"FLORIDA PERSONAL INJURY, P.A.",ADOMP,8722 JASMINE CT.                                                                    CAPE CANAVERAL,FL32920     USP.O. BOX 1002,,
